Park,Nov-22
Abraham Lincoln Birthplace NHP,"12,503"
Acadia NP,"70,675"
Adams NHP,425
African Burial Ground NM,"3,871"
Agate Fossil Beds NM,224
Alagnak Wild River,0
Alibates Flint Quarries NM,550
Allegheny Portage Railroad NHS,"13,627"
Amistad NRA,"61,800"
Andersonville NHS,"5,316"
Andrew Johnson NHS,"3,811"
Aniakchak NM & PRES,0
Antietam NB,"7,181"
Apostle Islands NL,"3,128"
Appomattox Court House NHP,"4,045"
Arches NP,"83,239"
Arkansas Post NMEM,"1,081"
Arlington House The R.E. Lee MEM,"16,738"
Assateague Island NS,"93,368"
Aztec Ruins NM,"2,230"
Badlands NP,"19,720"
Bandelier NM,"14,290"
Bent's Old Fort NHS,"1,406"
Bering Land Bridge NPRES,182
Big Bend NP,"57,158"
Big Cypress NPRES,"202,975"
Big Hole NB,280
Big South Fork NRRA,"53,721"
Big Thicket NPRES,"23,078"
Bighorn Canyon NRA,"4,877"
Biscayne NP,"54,538"
Black Canyon of the Gunnison NP,"17,257"
Blue Ridge PKWY,"1,226,511"
Bluestone NSR,0
Booker T. Washington NM,"1,287"
Boston African American NHS,"7,317"
Boston Harbor Islands NRA,0
Boston NHP,"129,846"
Brown v. Board of Education NHP,"1,101"
Bryce Canyon NP,"75,378"
Buck Island Reef NM,"2,816"
Buffalo NR,"61,959"
Cabrillo NM,"56,916"
Camp Nelson NM,866
Canaveral NS,"91,349"
Cane River Creole NHP,"1,160"
Canyon de Chelly NM,"18,562"
Canyonlands NP,"40,745"
Cape Cod NS,"189,436"
Cape Hatteras NS,"146,133"
Cape Krusenstern NM,"2,595"
Cape Lookout NS,"28,828"
Capitol Reef NP,"57,972"
Capulin Volcano NM,"3,439"
Carl Sandburg Home NHS,"3,584"
Carlsbad Caverns NP,"23,257"
Casa Grande Ruins NM,"8,724"
Castillo de San Marcos NM,"45,890"
Castle Clinton NM,"236,759"
Catoctin Mountain Park,"32,268"
Cedar Breaks NM,"22,903"
Cesar E. Chavez NM,608
Chaco Culture NHP,"2,370"
Chamizal NMEM,"1,760"
Channel Islands NP,"27,468"
Charles Pinckney NHS,694
Charles Young Buffalo Soldiers NM,311
Chattahoochee River NRA,"273,395"
Chesapeake & Ohio Canal NHP,"327,376"
Chickamauga & Chattanooga NMP,"76,196"
Chickasaw NRA,"43,985"
Chiricahua NM,"4,973"
Christiansted NHS,"7,968"
City of Rocks NRES,"3,034"
Clara Barton NHS,140
Colonial NHP,"186,900"
Colorado NM,"31,872"
Congaree NP,"15,765"
Coronado NMEM,"10,835"
Cowpens NB,"14,374"
Crater Lake NP,"10,481"
Craters of the Moon NM & PRES,"5,782"
Cumberland Gap NHP,"56,529"
Cumberland Island NS,"4,833"
Curecanti NRA,"35,663"
Cuyahoga Valley NP,"161,940"
Dayton Aviation Heritage NHP,"6,764"
De Soto NMEM,"16,795"
Death Valley NP,"93,445"
Delaware Water Gap NRA,"280,369"
Denali NP & PRES,"1,978"
Devils Postpile NM,0
Devils Tower NM,"6,302"
Dinosaur NM,"10,397"
Dry Tortugas NP,"5,630"
Dwight D. Eisenhower MEM,"43,219"
Edgar Allan Poe NHS,"1,361"
Effigy Mounds NM,"1,444"
Eisenhower NHS,176
El Malpais NM,"10,792"
El Morro NM,"3,528"
Eleanor Roosevelt NHS,"1,210"
Eugene O'Neill NHS,"1,459"
Everglades NP,"64,825"
Federal Hall NMEM,"4,377"
Fire Island NS,"15,689"
First Ladies NHS,232
Flight 93 NMEM,"19,058"
Florissant Fossil Beds NM,"2,190"
Ford's Theatre NHS,"25,191"
Fort Bowie NHS,647
Fort Caroline NMEM,"26,809"
Fort Davis NHS,"3,700"
Fort Donelson NB,"12,609"
Fort Frederica NM,"16,649"
Fort Laramie NHS,879
Fort Larned NHS,"1,186"
Fort Matanzas NM,"39,888"
Fort McHenry NM & HS,"14,877"
Fort Necessity NB,"26,377"
Fort Point NHS,"74,103"
Fort Pulaski NM,"32,890"
Fort Raleigh NHS,"13,732"
Fort Scott NHS,"1,150"
Fort Smith NHS,"8,585"
Fort Stanwix NM,"2,218"
Fort Sumter and Fort Moultrie NHP,"23,544"
Fort Union NM,538
Fort Union Trading Post NHS,79
Fort Vancouver NHS,"41,630"
Fort Washington Park,"23,168"
Fossil Butte NM,175
Franklin Delano Roosevelt MEM,"209,806"
Frederick Douglass NHS,0
Frederick Law Olmsted NHS,"1,508"
Fredericksburg & Spotsylvania NMP,"69,806"
Friendship Hill NHS,"1,190"
Gates of the Arctic NP & PRES,0
Gateway Arch NP,"80,576"
Gateway NRA,"629,291"
Gauley River NRA,"3,963"
General Grant NMEM,"4,549"
George Rogers Clark NHP,"4,078"
George Washington Birthplace NM,"10,454"
George Washington Carver NM,"1,807"
George Washington MEM PKWY,"597,400"
Gettysburg NMP,"47,370"
Gila Cliff Dwellings NM,"3,229"
Glacier Bay NP & PRES,222
Glacier NP,"20,914"
Glen Canyon NRA,"238,331"
Golden Gate NRA,"1,223,099"
Golden Spike NHP,"1,138"
Governors Island NM,0
Grand Canyon NP,"323,112"
Grand Portage NM,"1,490"
Grand Teton NP,"33,348"
Grant-Kohrs Ranch NHS,493
Great Basin NP,"2,521"
Great Sand Dunes NP & PRES,"13,024"
Great Smoky Mountains NP,"945,444"
Greenbelt Park,"2,926"
Guadalupe Mountains NP,"20,482"
Guilford Courthouse NMP,"38,326"
Gulf Islands NS,"354,381"
Hagerman Fossil Beds NM,465
Haleakala NP,"82,116"
Hamilton Grange NMEM,"4,469"
Hampton NHS,807
Harpers Ferry NHP,"40,848"
Harry S Truman NHS,"1,361"
Hawaii Volcanoes NP,"133,092"
Herbert Hoover NHS,"5,730"
Home of Franklin D. Roosevelt NHS,"7,280"
Homestead NHP,"2,496"
Hopewell Culture NHP,"2,939"
Hopewell Furnace NHS,"3,124"
Horseshoe Bend NMP,"4,756"
Hot Springs NP,"251,837"
Hovenweep NM,"1,238"
Hubbell Trading Post NHS,"3,538"
Independence NHP,"195,184"
Indiana Dunes NP,"108,278"
Isle Royale NP,0
James A. Garfield NHS,"1,029"
Jean Lafitte NHP & PRES,"18,235"
Jewel Cave NM,878
Jimmy Carter NHP,"3,254"
"John D. Rockefeller, Jr. MEM PKWY","2,922"
John Day Fossil Beds NM,"4,267"
John F. Kennedy NHS,0
John Muir NHS,"3,826"
Johnstown Flood NMEM,"12,002"
Joshua Tree NP,"316,911"
Kalaupapa NHP,"4,011"
Kaloko Honokohau NHP,"24,429"
Katahdin Woods and Waters NM,"2,220"
Katmai NP & PRES,20
Kenai Fjords NP,6
Kennesaw Mountain NBP,"88,103"
Keweenaw NHP,298
Kings Canyon NP,"18,222"
Kings Mountain NMP,"16,786"
Klondike Gold Rush NHP Alaska,9
Klondike Gold Rush NHP Seattle,"3,188"
Knife River Indian Villages NHS,85
Kobuk Valley NP,"1,596"
Korean War Veterans Memorial,"279,555"
Lake Chelan NRA,"1,420"
Lake Clark NP & PRES,0
Lake Mead NRA,"323,244"
Lake Meredith NRA,"17,688"
Lake Roosevelt NRA,"31,443"
Lassen Volcanic NP,"9,063"
Lava Beds NM,"6,156"
LBJ Memorial Grove on the Potomac,"24,975"
Lewis & Clark NHP,"13,707"
Lincoln Boyhood NMEM,"4,374"
Lincoln Home NHS,"7,222"
Lincoln Memorial,"593,397"
Little Bighorn Battlefield NM,"1,246"
Little River Canyon NPRES,"51,172"
Little Rock Central High School NHS,"7,862"
Longfellow House Washington's HQ NHS,"3,521"
Lowell NHP,"6,626"
Lyndon B. Johnson NHP,"5,642"
Maggie L. Walker NHS,398
Mammoth Cave NP,"29,340"
Manassas NBP,"41,274"
Manhattan Project NHP,"2,901"
Manzanar NHS,"5,950"
Marsh-Billings-Rockefeller NHP,"3,000"
"Martin Luther King, Jr. Memorial","214,112"
"Martin Luther King, Jr. NHP","15,855"
Martin Van Buren NHS,200
Mary McLeod Bethune Council House NHS,117
Medgar and Myrlie Evers Home NM,640
Mesa Verde NP,"14,980"
Minidoka NHS,341
Minute Man NHP,"59,838"
Minuteman Missile NHS,"1,680"
Mississippi NRRA,"20,523"
Missouri NRR,"9,864"
Mojave NPRES,"85,121"
Monocacy NB,"8,622"
Montezuma Castle NM,"30,807"
Moores Creek NB,"4,241"
Morristown NHP,"19,553"
Mount Rainier NP,"21,823"
Mount Rushmore NMEM,"34,916"
Muir Woods NM,"52,392"
Natchez NHP,"5,483"
Natchez Trace PKWY,"476,475"
National Capital Parks Central,"51,447"
National Capital Parks East,"71,787"
National Park of American Samoa,438
Natural Bridges NM,"2,999"
Navajo NM,"2,227"
New Bedford Whaling NHP,864
New Orleans Jazz NHP,"2,683"
New River Gorge NP & PRES,"79,143"
Nez Perce NHP,"29,725"
Nicodemus NHS,137
Ninety Six NHS,"8,302"
Niobrara NSR,598
Noatak NPRES,"2,695"
North Cascades NP,44
Obed W&SR,"22,496"
Ocmulgee Mounds NHP,"14,092"
Olympic NP,"107,847"
Oregon Caves NM & PRES,346
Organ Pipe Cactus NM,"12,178"
Ozark NSR,"62,160"
Padre Island NS,"21,881"
Palo Alto Battlefield NHP,"24,207"
Paterson Great Falls NHP,"10,352"
Pea Ridge NMP,"5,300"
Pearl Harbor NMEM,"115,934"
Pecos NHP,"3,944"
Pennsylvania Avenue NHS,"7,310"
Perry's Victory & Intl. Peace MEM,"1,505"
Petersburg NB,"13,476"
Petrified Forest NP,"28,002"
Petroglyph NM,"25,232"
Pictured Rocks NL,"8,869"
Pinnacles NP,"21,697"
Pipe Spring NM,"1,040"
Pipestone NM,"1,600"
Piscataway Park,"19,606"
Point Reyes NS,"183,236"
Port Chicago Naval Magazine NMEM,12
President W.J. Clinton Birthplace Home NHS,416
President's Park,"48,772"
Prince William Forest Park,"20,227"
Pu'uhonua o Honaunau NHP,"29,488"
Pu'ukohola Heiau NHS,"2,225"
Rainbow Bridge NM,6
Reconstruction Era NHP,"1,554"
Redwood NP,"19,904"
Richmond NBP,"15,328"
Rio Grande W&SR,32
River Raisin NBP,"14,396"
Rock Creek Park,"125,689"
Rocky Mountain NP,"131,655"
Roger Williams NMEM,"2,413"
